County Name,Health Topic Number,Health Topic,Indicator Number,Indicator,Event Count,Average Number of Denominator,Measure Unit,Percent/Rate,Lower Limit of 95% CI,Upper Limit of 95% CI,Data Comments,Quartile,Data Years,Data Source,Mapping Distribution,Location
Sullivan,3,Child and Adolescent Health Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",56,16586,Rate,11.3,,,,   9.2 - <   12.8  : Q3,2012-2014,"2012-2014 SPARCS Data as of February, 2016",2,"(41.705166, -74.711705)"
Sullivan,13,Respiratory Disease Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",56,16586,Rate,11.3,,,,   9.2 - <   12.8  : Q3,2012-2014,"2012-2014 SPARCS Data as of February, 2016",2,"(41.705166, -74.711705)"
Tioga,3,Child and Adolescent Health Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",28,11181,Rate,8.3,,,,0 - <    9.2  : Q1 & Q2,2012-2014,"2012-2014 SPARCS Data as of February, 2016",1,"(42.120252, -76.29595)"
Tioga,13,Respiratory Disease Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",28,11181,Rate,8.3,,,,0 - <    9.2  : Q1 & Q2,2012-2014,"2012-2014 SPARCS Data as of February, 2016",1,"(42.120252, -76.29595)"
Tompkins,3,Child and Adolescent Health Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",27,16152,Rate,5.6,,,,0 - <    9.2  : Q1 & Q2,2012-2014,"2012-2014 SPARCS Data as of February, 2016",1,"(42.461024, -76.478784)"
Tompkins,13,Respiratory Disease Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",27,16152,Rate,5.6,,,,0 - <    9.2  : Q1 & Q2,2012-2014,"2012-2014 SPARCS Data as of February, 2016",1,"(42.461024, -76.478784)"
Ulster,3,Child and Adolescent Health Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",145,34103,Rate,14.2,,,,  12.8 +   : Q4,2012-2014,"2012-2014 SPARCS Data as of February, 2016",3,"(41.848374, -74.099412)"
Ulster,13,Respiratory Disease Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",145,34103,Rate,14.2,,,,  12.8 +   : Q4,2012-2014,"2012-2014 SPARCS Data as of February, 2016",3,"(41.848374, -74.099412)"
Warren,3,Child and Adolescent Health Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",32,12597,Rate,8.5,,,,0 - <    9.2  : Q1 & Q2,2012-2014,"2012-2014 SPARCS Data as of February, 2016",1,"(43.403024, -73.716044)"
Warren,13,Respiratory Disease Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",32,12597,Rate,8.5,,,,0 - <    9.2  : Q1 & Q2,2012-2014,"2012-2014 SPARCS Data as of February, 2016",1,"(43.403024, -73.716044)"
Washington,3,Child and Adolescent Health Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",28,12588,Rate,7.4,,,,0 - <    9.2  : Q1 & Q2,2012-2014,"2012-2014 SPARCS Data as of February, 2016",1,"(43.289513, -73.454761)"
Washington,13,Respiratory Disease Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",28,12588,Rate,7.4,,,,0 - <    9.2  : Q1 & Q2,2012-2014,"2012-2014 SPARCS Data as of February, 2016",1,"(43.289513, -73.454761)"
Wayne,3,Child and Adolescent Health Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",44,20744,Rate,7.1,,,,0 - <    9.2  : Q1 & Q2,2012-2014,"2012-2014 SPARCS Data as of February, 2016",1,"(43.144336, -77.117995)"
Wayne,13,Respiratory Disease Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",44,20744,Rate,7.1,,,,0 - <    9.2  : Q1 & Q2,2012-2014,"2012-2014 SPARCS Data as of February, 2016",1,"(43.144336, -77.117995)"
Westchester,3,Child and Adolescent Health Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",1258,223981,Rate,18.7,,,,  12.8 +   : Q4,2012-2014,"2012-2014 SPARCS Data as of February, 2016",3,"(41.039278, -73.805386)"
Westchester,13,Respiratory Disease Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",1258,223981,Rate,18.7,,,,  12.8 +   : Q4,2012-2014,"2012-2014 SPARCS Data as of February, 2016",3,"(41.039278, -73.805386)"
Wyoming,3,Child and Adolescent Health Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",10,8075,Rate,4.1,,,,0 - <    9.2  : Q1 & Q2,2012-2014,"2012-2014 SPARCS Data as of February, 2016",1,"(42.723641, -78.204473)"
Wyoming,13,Respiratory Disease Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",10,8075,Rate,4.1,,,,0 - <    9.2  : Q1 & Q2,2012-2014,"2012-2014 SPARCS Data as of February, 2016",1,"(42.723641, -78.204473)"
Yates,3,Child and Adolescent Health Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",,5890,Rate,,,,Data Suppressed,Data do not meet reporting criteria,2012-2014,"2012-2014 SPARCS Data as of February, 2016",0,"(42.634338, -77.078311)"
Yates,13,Respiratory Disease Indicators,h38,"Asthma hospitalization rate per 10,000 - Aged 0-17 years",,5890,Rate,,,,Data Suppressed,Data do not meet reporting criteria,2012-2014,"2012-2014 SPARCS Data as of February, 2016",0,"(42.634338, -77.078311)"
